Area,final-code,City-corporation-area-code,area-code,Parent Code,04/16/20,04/29/20
Adabor,10-01-01-001,01-001,1,1,5,9
Agargaon,10-01-01-002,01-002,2,1,2,12
Armanitola,10-01-02-003,02-003,3,2,1,2
Ashkona,10-01-01-004,01-004,4,1,1,1
Azimpur,10-01-02-005,02-005,5,2,11,18
Babu Bazar,10-01-02-006,02-006,6,2,11,11
Badda,10-01-01-007,01-007,7,1,8,31
Baily Road,10-01-02-008,02-008,8,2,3,4
Banani,10-01-01-009,01-009,9,1,8,10
Bangshal,10-01-02-010,02-010,10,2,9,52
Banianagar,10-01-02-011,02-011,11,2,1,1
Basabo,10-01-02-012,02-012,12,2,17,32
Bashundhora,10-01-01-013,01-013,13,1,5,13
Begunbari,10-01-01-014,01-014,14,1,1,1
Begum Bazar,10-01-02-015,02-015,15,2,1,1
Beribadh,10-01-01-016,01-016,16,1,1,1
Bokshi Bazar,10-01-02-017,02-017,17,2,1,5
Bosila,10-01-01-018,01-018,18,1,1,1
Buet Area,10-01-02-019,02-019,19,2,1,1
Central Road,10-01-02-020,02-020,20,2,1,2
Chankharpool,10-01-02-021,02-021,21,2,5,29
Chawk Bazar,10-01-02-022,02-022,22,2,9,32
Dhakkeshori,10-01-02-023,02-023,23,2,1,1
Dhanmondi,10-01-01-024,01-024,24,1,18,37
Dholaikhal,10-01-02-025,02-025,25,2,1,2
Doyaganj,10-01-02-026,02-026,26,2,1,3
Eskaton,10-01-01-027,01-027,27,1,2,9
Faridabagh,10-01-02-028,02-028,28,2,1,1
Farmgate,10-01-01-029,01-029,29,1,1,5
Gendaria,10-01-02-030,02-030,30,2,14,36
Gopibag,10-01-02-031,02-031,31,2,3,18
Green Road,10-01-02-032,02-032,32,2,10,12
Gulistan,10-01-02-033,02-033,33,2,2,7
Gulshan,10-01-01-034,01-034,34,1,13,25
Hatir jhil,10-01-01-035,01-035,35,1,1,3
Hatirpool,10-01-02-036,02-036,36,2,3,3
Hazaribagh,10-01-02-037,02-037,37,2,11,35
Islampur,10-01-02-038,02-038,38,2,2,2
Jailgate,10-01-02-039,02-039,39,2,2,2
Jatrabari,10-01-02-040,02-040,40,2,23,77
Jigatala,10-01-02-041,02-041,41,2,5,6
Jurain,10-01-02-042,02-042,42,2,1,24
Kallyanpur,10-01-01-043,01-043,43,1,1,6
Kamrangir Char,10-01-02-044,02-044,44,2,3,22
