Location,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/16/20,6/17/20
Abdullahpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Adabor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Aftabnagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Agargaon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Ahmed Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Ahmedabag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Aminbazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Amlapara,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Arambagh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Armanitola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Asad Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ashkona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Ashulia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Azimpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
Babu Bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
Badam Toli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Badda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
Baganbari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bahadur Bazar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Baily Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Bakshibazar,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Banani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
Banasree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
Bangla bazar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Banglamotor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Bangshal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
Banianagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
