Location,5/30/20
Mohakhali,408
Jatrabari,340
Mugda,327
Mohammadpur,313
Mirpur,300
Kakrail,299
Uttara,283
Mogbazar,219
Rajarbagh,214
Tejgaon,205
Dhanmondi,196
Lalbagh,177
Khilgaon,166
Babu Bazar,161
Badda,152
Malibagh,140
Rampura,117
Gulshan,116
Gendaria,115
Wari,103
Bangshal,102
Basabo,100
Hazaribagh,92
Agargaon,90
Shahbag,88
Shaymoli,87
Mirpur-1,84
Sher-E-Bangla Nagar,81
Chawk Bazar,81
Banani,80
Mirpur-12,74
Azimpur,70
Ramna,68
Adabor,63
Shantinagar,61
Swamibagh,58
Eskaton,58
Nayabazar,57
Bashundhora,57
Jurain,56
Mirpur-11,55
Kamrangir Char,54
Paltan,53
Farmgate,51
Green Road,50
Sutrapur,49
Chankharpool,48
Manda,47
Maniknagar,47
Mitford,47
Mirpur-14,46
Kalabagan,46
Lalmatia,44
Narinda,42
Sahjanpur,42
Demra,41
Kallyanpur,40
Nakhalpara,38
Banasree,37
Gopibag,37
Motijeel,36
Shantibagh,36
Raja Bazar,34
Baridhara,34
Hatirpool,34
Tikatoli,33
Shakharibazar,32
Panthapath,30
Sabujbagh,30
Vatara,30
Kotowali,29
Kathalbagan,29
Segunbagicha,28
Kamalapur,28
Mirpur-10,27
Pallabi,27
Purana Paltan,27
Rayerbazar ,26
Cantonment,26
Elephant Road,25
Tongi,24
Kafrul,24
Kawran Bazar,23
Laxmibazar,22
Abdullahpur,22
Sonir akhra,22
Baily Road,22
Goran,22
Kodomtoli,22
Mirpur-2,21
Dhalpur,21
Dania,20
Kazi para,20
Rayerbagh,19
Tolarbag,19
Paikpara,18
Siddheshwari,18
TatiBazar,18
Fulbaria,18
Jigatala,18
Shampur,17
Mirpur-6,16
Mirpur-13,16
Sayedabad,16
Matuail,14
New market,14
Golapbagh,14
Dakshinkhan,13
Nandi Para,12
Gausia,12
Shewrapara,11
Gulistan,11
Ibrahimpur,11
Meradia,10
Nazirabazar,10
Neemtoli,10
Pirerbagh,10
Postogola,10
Shohid Nagar,10
Taltola,10
Islambagh,10
Khilkhet,10
Madartek,9
Niketon,9
Aftabnagar,9
Arambagh,9
Bakshibazar,9
Banglamotor,9
Kuril,8
Mirhajaribagh,8
Mohonpur,8
Fakirapool,8
Islampur,8
Kutubkhali,7
Rosulpur,7
Ahmedabag,7
Dholaipar,7
Hajipara,7
Kochukhet,7
Mirpur 7,6
Monipur,6
Nawabpur,6
Tejkunipara,6
Armanitola,6
Hatir jhil,6
Indira Road,6
Matikata,5
Mintu Road,5
Nikunja,5
Sadarghat,5
Sahjadpur,5
Shekher Tek,5
Tezturi Bazar,5
Vasantek,5
Bokshi Bazar,5
Bosila,5
Faridabagh,5
Gabtoli,5
Gonoktuli,5
Malitola,4
Nilkhet,4
Poribagh,4
Rasulbagh,4
Sipahibag,4
Tallabagh,4
Turag,4
Ashulia,4
Begunbari,4
Central Road,4
Sankar,3
Showari Ghat,3
Doyaganj,3
Kanchpur,3
kajla,3
Rupganj,2
Shah Ali Bagh,2
Ahmed Nagar,2
Aminbazar,2
Amlapara,2
Ashkona,2
Badam Toli,2
Baganbari,2
Bijoynagar,2
Begum Bazar,2
Dholaikhal,2
English Road,2
Farasganj,2
Forashganj,2
Jailgate,2
Katashur,2
Manikdi,1
Merul,1
Science Lab,1
Urdu Road,1
Asad Gate,1
Bahadur Bazar,1
Banianagar,1
Beribadh,1
Buet Area,1
Dhakkeshori,1
Golartek,1
Gulbag,1
Gudaraghat,1
Hatkhula,1
Jinjira,1
Koratitola,1
Kosaituli,1
Koltabazar,1
