Division,District/City,Total,deaths,recovered
Dhaka,Dhaka,6868,103,0
Dhaka,Gazipur,333,,0
Dhaka,Kishoreganj,202,1,0
Dhaka,Madaripur,54,2,0
Dhaka,Manikganj,28,,0
Dhaka,Narayanganj,1198,41,0
Dhaka,Munshigonj,216,4,0
Dhaka,Narshingdi,171,1,0
Dhaka,Rajbari,23,,0
Dhaka,Faridpur,24,,0
Dhaka,Tangail,31,3,0
Dhaka,Shariatpur,57,1,0
Dhaka,Gopalganj,56,,0
Chattogram,Chattogram,220,2,0
Chattogram,Cox’s bazar,83,,0
Chattogram,Cumilla,171,4,0
Chattogram,B. Baria,57,2,0
Chattogram,Khagrachari,3,,0
Chattogram,Laksmipur,58,1,0
Chattogram,Bandarban,4,,0
Chattogram,Rangmati,4,1,0
Chattogram,Noakhali,30,,0
Chattogram,Feni,8,,0
Chattogram,Chandpur,55,3,0
Sylhet,Moulovi Bazar,33,,0
Sylhet,Sunamganj,38,,0
Sylhet,Hobiganj,73,2,0
Sylhet,Sylhet,36,1,0
Rangpur,Rangpur,128,,0
Rangpur,Gaibandha,25,,0
Rangpur,Nilphamari,41,,0
Rangpur,Lalmonirhat,13,,0
Rangpur,Kurigram,35,1,0
Rangpur,Dinajpur,42,,0
Rangpur,Panchagar,10,,0
Rangpur,Thakurgaon,23,,0
Khulna,Khulna,20,,0
Khulna,Jessore,79,,0
Khulna,Bagerhat,3,,0
Khulna,Narail,13,,0
Khulna,Magura,12,1,0
Khulna,Meherpur,5,,0
Khulna,Satkhira,4,,0
Khulna,Jhenaidah,38,,0
Khulna,Kushtia,21,,0
Khulna,Chuadanga,23,3,0
Mymensingh,Mymensingh,221,3,0
Mymensingh,Jamalpur,110,,0
Mymensingh,Netrokona,68,,0
Mymensingh,Sherpur,36,1,0
Barishal,Barguna,37,,0
Barishal,Bhola,7,,0
Barishal,Barishal,54,1,0
Barishal,Potuakhali,28,,0
Barishal,Pirojpur,7,,0
Barishal,Jhalokathi,13,1,0
Rajshahi,Joypurhat,42,1,0
Rajshahi,Pabna,18,,0
Rajshahi,Chapainawabganj,14,,0
Rajshahi,Bogra,18,,0
Rajshahi,Natore,13,,0
Rajshahi,Naogaon,25,,0
Rajshahi,Sirajganj,6,2,0
Rajshahi,Rajshahi,26,,0
