Chawk Bazar,81,Jatrabari,340,Mirpur,300,,
,,Dania,,Jinjira,,Mirpur-1,
Abdullahpur,22,,20,,1,,84
,,Dakshinkhan,13,Jigatala,,Mirpur-2,
Aftabnagar,,,,,,,
,,,,,18,,21
,9,,,,,,
,,Dhakkeshori,,Jurain,,Mirpur-6,
Adabor,,,,,,,
,,,1,,56,,16
,63,,,,,,
Agargaon,90,Demra,41,Kafrul,24,Mirpur 7,6
,,Dhanmondi,,Kallyanpur,,Mirpur-10,
Ahmed Nagar,2,,196,,40,,27
Ahmedabag,7,Dhalpur,21,Kalabagan,46,Mirpur-11,55
,,Dholaipar,,Kakrail,,,
Aminbazar,2,,7,,299,Mirpur-12,74
,,Dholaikhal,,Kathalbagan,,Mirpur-13,
Amlapara,,,,,,,
,,,2,,29,,16
,2,,,,,,
,,Doyaganj,3,Kamalapur,28,Mirpur-14,
Airport,,,,,,,
,,,,,,,46
,7,,,,,,
Arambagh,9,Elephant Road,25,Kanchpur,3,Mitford,47
,,English Road,,kajla,,Mogbazar,
Armanitola,6,,2,,3,,219
Asad Gate,1,Eskaton,58,Kamrangir Char,54,Monipur,6
,,Farasganj,,,,,
Ashulia,4,,2,Katashpur,2,Mohakhali,408
,,Faridabagh,,Kazi para,,Mohonpur,
Ashkona,,,,,,,
,,,5,,20,,8
,2,,,,,,
,,Fakirapool,8,Kawran Bazar,23,Mohammadpur,
Azimpur,,,,,,,
,,,,,,,313
,70,,,,,,
,,Fulbaria,,Koratitola,,Motijeel,
Babu Bazar,161,,18,,1,,36
Bahadur Bazar,1,Forashganj,2,Konapara,5,Mouchak,2
Badda,152,Farmgate,51,Kosaituli,1,Mugda,327
Baily Road,22,Gendaria,115,Kochukhet,7,Nawabpur,6
,,Gausia,12,Khilgaon,,Nazirabazar,
Bakshibazar,,,,,,,
,,,,,166,,10
,9,,,,,,
,,Gabtoli,,Khilkhet,,,
Badam Toli,,,,,,,
,,,5,,10,Nandi Para,12
,2,,,,,,
,,Golartek,,Koltabazar,,Nayapaltan,
Baridhara,34,,1,,1,,2
Banasree,37,Goran,22,Kodomtoli,22,Narinda,42
Banani,80,Golapbagh,14,Kotowali,29,New market,14
Bangla bazar,1,Gonoktuli,5,Kutubkhali,7,Niketon,9
,,Gopibag,,,,,
Banglamotor,,,,,,,
,,,37,Kuril,8,Nilkhet,4
,9,,,,,,
,,Gulbag,1,Lalmatia,44,Nakhalpara,38
Bangshal,102,,,,,,
,,Gudaraghat,1,Lalbagh,177,Nayabazar,57
Baganbari,2,,,,,,
,,Green Road,50,Laxmibazar,22,Neemtoli,10
Banianagar,1,,,,,,
,,Gulistan,,,,,
Basabo,100,,11,Madartek,9,Nikunja,5
Bijoynagar,2,Gulshan,116,Malitola,4,Panthapath,30
,,Hatir jhil,6,Malibagh,,,
Bashundhora,,,,,,,
,,,,,140,Pallabi,27
,57,,,,,,
,,Hajipara,,Matikata,,Paikpara,
Begunbari,,,,,,,
,,,7,,5,,18
,4,,,,,,
,,Hatkhula,,Manda,,Paltan,
Begum Bazar,2,,1,,47,,53
Beribadh,1,Hatirpool,34,Maniknagar,47,Pirerbagh,10
Bokshi Bazar,5,Hazaribagh,92,Manikdi,1,Postogola,10
Bosila,5,Ibrahimpur,11,Matuail,14,Poribagh,4
,,Indira Road,6,Merul,,Purana Paltan,
Buet Area,,,,,,,
,,,,,1,,27
,1,,,,,,
,,Islambagh,,Meradia,,Rajarbagh,
Cantonment,,,,,,,
,,,10,,10,,214
,26,,,,,,
Central Road,4,Islampur,8,Mintu Road,5,Rampura,117
,,Jailgate,,,,,
Chankharpool,48,,2,Mirhajaribagh,8,Ramna,68
Rayerbagh,19,,,,,,
Raja Bazar,34,,,,,,
Rosulpur,7,,,,,,
Rupnagar,6,,,,,,
Rupganj,2,,,,,,
Rayerbazar,26,,,,,,
Sabujbagh,30,,,,,,
Sadarghat,5,,,,,,
Sahjanpur,42,,,,,,
Sahjadpur,5,,,,,,
Sankar,3,,,,,,
Sayedabad,16,,,,,,
Segunbagicha,28,,,,,,
Science Lab,1,,,,,,
Shah Ali Bagh,2,,,,,,
Shahbag,88,,,,,,
Shakharibazar,32,,,,,,
Shankar,1,,,,,,
Shantibagh,36,,,,,,
Shampur,17,,,,,,
Shantinagar,61,,,,,,
Shaymoli,87,,,,,,
Shewrapara,11,,,,,,
Shekher Tek,5,,,,,,
Showari Ghat,3,,,,,,
Sipahibag,4,,,,,,
Siddheshwari,18,,,,,,
Sonir akhra,22,,,,,,
Swamibagh,58,,,,,,
"Sher-E-BanglaNagar",81,,,,,,
Sutrapur,49,,,,,,
Tallabagh,4,,,,,,
Taltola,10,,,,,,
TatiBazar,18,,,,,,
Tikatoli,33,,,,,,
Tejgaon,205,,,,,,
Turag,4,,,,,,
Tezturi Bazar,5,,,,,,
Tongi,24,,,,,,
Tolarbag,19,,,,,,
Urdu Road,1,,,,,,
Uttara,283,,,,,,
Vatara,30,,,,,,
Vasantek,5,,,,,,
Wari,103,,,,,,
