Given_Name,Actual_Name
Andorra,Andorra
Antigua and Barbuda,Antigua and Barbuda
Aruba,Aruba
Bahamas,The Bahamas
"Bahamas, The",The Bahamas
Bahrain,Bahrain
Barbados,Barbados
Burma,Burma
Cape Verde,Cape Verde
Cape Verde,Cape Verde
Cayman Islands,United Kingdom
Channel Islands,United Kingdom
Congo (Brazzaville),Republic of the Congo
Congo (Kinshasa),Republic of the Congo
Cote d'Ivoire,Ivory Coast
Cruise Ship,Others
Curacao,Curacao
Czech Republic,Czechia
Diamond Princess,Others
Dominica,Dominica
Eswatini,eSwatini
Faroe Islands,Faroe Islands
French Guiana,France
"Gambia, The",Gambia
Gibraltar,United Kingdom
Grenada,Grenada
Guadeloupe,France
Guam,United States of America
Guernsey,Guernsey
Holy See,Holy See
Hong Kong,China
Hong Kong SAR,China
Iran (Islamic Republic of),Iran
Jersey,United Kingdom
"Korea, South",South Korea
Liechtenstein,Germany
MS Zaandam,MS Zaandam
Macao SAR,China
Macau,China
Maldives,Maldives
Malta,Malta
Martinique,France
Mauritius,Mauritius
Mayotte,France
Monaco,Monaco
North Ireland,United Kingdom
North Macedonia,Macedonia
Others,Others
Republic of Ireland,Ireland
Republic of Korea,South Korea
Republic of Moldova,Moldova
Reunion,Reunion
Russian Federation,Russia
Saint Barthelemy,France
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Martin,Saint Martin
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
San Marino,San Marino
Serbia,Republic of Serbia
Seychelles,Seychelles
Singapore,Singapore
St. Martin,Saint Martin
Taipei and environs,Taiwan
Taiwan*,Taiwan
Tanzania,United Republic of Tanzania
The Gambia,Gambia
Timor-Leste,East Timor
UK,United Kingdom
US,United States of America
Vatican City,Italy
Viet Nam,Vietnam
West Bank and Gaza,Palestine
occupied Palestinian territory,Palestine
